ID,Time (Day),Treatment,Plot,Counter,Count
1,0,S_XLR,A,E,28.5
2,3,S_XLR,A,E,16
3,7,S_XLR,A,E,11.25
4,10,S_XLR,A,E,8
5,14,S_XLR,A,E,5.25
6,0,S_XLR,B,E,26.5
7,3,S_XLR,B,E,7.5
8,7,S_XLR,B,E,4.5
9,10,S_XLR,B,E,4.5
10,14,S_XLR,B,E,3.5
11,0,S_XLR,D,E,33.25
12,3,S_XLR,D,E,7.75
13,7,S_XLR,D,E,1.5
14,10,S_XLR,D,E,2
15,14,S_XLR,D,E,1
16,0,S_XLR,F,K,24.75
17,3,S_XLR,F,K,7.5
18,7,S_XLR,F,K,8.75
19,10,S_XLR,F,K,7.25
20,14,S_XLR,F,K,6.5
21,0,UTC,J,E,19
22,3,UTC,J,E,18.75
23,7,UTC,J,E,20.5
24,10,UTC,J,E,18.38
25,14,UTC,J,E,16.88
26,0,UTC,Q,E,17.75
27,3,UTC,Q,E,13.63
28,7,UTC,Q,E,15.75
29,10,UTC,Q,E,13
30,14,UTC,Q,E,15.5
31,0,UTC,S,K,46.75
32,3,UTC,S,K,30.13
33,7,UTC,S,K,29.63
34,10,UTC,S,K,25
35,14,UTC,S,K,27.13
36,0,UTC,T,E,31
37,3,UTC,T,E,19.5
38,7,UTC,T,E,26
39,10,UTC,T,E,21.25
40,14,UTC,T,E,24.88
