Distance (m),Rate (L/ha)
-11.43,0.2806188
-10.5156,0.57059156
-9.6012,0.53317572
-8.6868,0.36480444
-7.7724,0.3273886
-6.858,1.6837128
-5.9436,1.38438608
-5.0292,2.1514108
-4.1148,4.65827208
-3.2004,7.01547
-2.286,4.96695276
-1.3716,3.75093796
-0.4572,5.16338592
0.4572,6.71614328
1.3716,4.1157424
2.286,3.70416816
3.2004,4.98566068
4.1148,6.80032892
5.0292,4.8640592
5.9436,2.28236624
6.858,1.41244796
7.7724,1.93626972
8.6868,0.35545048
9.6012,0.40222028
10.5156,0.54252968
11.43,0.57059156
